iso1,iso2,group,community
-32.68108904,0.2404408,Algae,WGN
-30.0932642,-0.3446144,Algae,WGN
-28.90704648,1.2721312,Algae,WGN
-24.69,-1.01,Algae,WGN
-29.2422134,1.9042492,Burreed,WGN
-28.24196604,0.4812916,Burreed,WGN
-27.84,2.08,Burreed,WGN
-25.66,2.43,Burreed,WGN
-30.59864128,0.9786808,Cotton Grass,WGN
-29.28529128,0.0697228,Cotton Grass,WGN
-28.56,2.01,Cotton Grass,WGN
-27.68,1.49,Cotton Grass,WGN
-27.5873924,-0.8207792,Cotton Grass,WGN
-20.7539,0.082801,Elodea,WGN
-18.6324,-0.039122,Elodea,WGN
-17.6841,-0.285146,Elodea,WGN
-16.88,-2.08,Elodea,WGN
-15.73,-2.04,Elodea,WGN
-27.815,2.92717,Horsetail,WGN
-27.7036,1.975623,Horsetail,WGN
-30.4566,0.879295,Mare's Tail,WGN
-28.6968,1.594623,Mare's Tail,WGN
-26.8612,0.867865,Mare's Tail,WGN
-30.1841,0.610772,Pondweed,WGN
-29.5915,1.741828,Pondweed,WGN
-29.3668344,-3.7873903,Pondweed,WGN
-28.4122,-0.813117,Pondweed,WGN
-26.9068582,-4.0980461,Pondweed,WGN
-28.76,0.04,Purple Marshlocks,WGN
-28.69,-0.01,Purple Marshlocks,WGN
-28.68,-0.05,Purple Marshlocks,WGN
-31.7913834,3.5560822,Reed Grass,WGN
-30.3709741,2.9209295,Reed Grass,WGN
-28.99950632,-0.2809412,Reed Grass,WGN
-27.64938252,5.7707812,Reed Grass,WGN
-30.2298526,-0.1554404,Sedge,WGN
-29.68770172,-0.1517492,Sedge,WGN
-26.98745412,0.0669544,Sedge,WGN
-28.8252,-0.97472,Willow,WGN
-28.0674,-1.38414,Willow,WGN
-26.2244,0.053409,Yellow Pond Lily,WGN
-26.2043,1.278084,Yellow Pond Lily,WGN
-24.5127,1.336868,Yellow Pond Lily,WGN
-31.66192944,0.424078,Yellow Pond Lily,WGN
